from,n,obs_H_pct,obs_C_pct,obs_D_pct,obs_L_pct,obs_N_pct,obs_X_pct,exp_H_pct,exp_C_pct,exp_D_pct,exp_L_pct,exp_N_pct,exp_X_pct,max_abs_gap_pts,pearson_x2_sum,cells
H,31658,77.20639332870049,18.308168551393013,2.4196095773580137,0.38536862720323456,0.3411459978520437,1.3393139174932087,77.54030012525546,18.313781856298082,2.5542505760958285,0.415102258261141,0.10455424034370712,1.0720109437458047,0.333906796554968,320.3078722619015,48
C,141854,0.0,84.21052631578948,8.233817869076656,1.514937893890902,0.8064629830670972,5.234254938175871,0.07836911263628747,84.98693264702537,8.186963805493885,1.5115947957653355,0.8269886008435157,4.409151038235607,0.8251038999402642,1983.2996435367886,48
D,25231,1.3118782450160518,33.767983829416195,36.1380841028893,12.536165827751576,2.8100352740676153,13.43585272085926,0.8429271584083413,33.00474245653364,39.275097490881215,12.845464711433806,2.9142031803407686,11.117565002402221,3.137013387991916,1438.434060260377,48
L,10100,0.19801980198019803,8.089108910891088,21.14851485148515,39.83168316831683,4.910891089108911,25.821782178217823,0.23723134175823699,8.212959640544252,19.314778375478586,47.01677725566513,4.7328523622152945,20.48540102433851,7.185094087348297,1348.160631606515,47
N,4575,0.15300546448087432,2.841530054644809,2.360655737704918,2.8852459016393444,41.202185792349724,50.557377049180324,0.024088145376727058,1.0543500718794432,3.487665409233199,2.360613938990495,56.45057674485647,36.622705689663675,15.248390952506744,1675.736915191258,40
