sex,pv_medicare_sim,pv_medicare_exact,pv_oop_sim,pv_oop_exact,mc_se_oop
male,154452.23465975412,154450.90779844642,35884.785572239045,35829.74598207315,92.13929574773707
female,171896.24339106103,171992.18876943193,45839.36888183565,45793.45656852845,124.97557398022741
