state,age_band,weight,share_0_1_conditions,share_2_3,share_4_plus,medicare_mix_only,total_all_payers_annual,hrs_oop_mean,mcbs_scale_factor,medicare_annual
C,65-74,234812196.0,0.28485362404259446,0.5482261577247887,0.16692021823261685,8350.076525157923,12887.22118373013,2032.450598993688,1.1976298053510555,10000.300523491302
C,75+,165821376.0,0.21084905844708465,0.569355925499014,0.21979501605390128,10254.702961504467,15461.376525591135,2255.7810592689375,1.1730059042002203,12028.827119664224
D,65-74,30019002.0,0.13240996486159,0.4754843615387347,0.3921056735996753,10568.962302573018,15888.185087764678,2729.760863731945,1.1976298053510555,12657.704265193166
D,75+,40520683.0,0.1168091860643119,0.5017979089839132,0.38139290495177486,11615.231518102653,17322.700374152853,3077.9245499329604,1.1730059042002203,13624.735149386901
H,65-74,33177729.0,1.0,0.0,0.0,4418.041950661604,7263.575035976331,1216.0726322774535,1.1976298053510555,5291.178721403654
H,75+,12950593.0,1.0,0.0,0.0,5976.16724037024,9718.20082076224,1313.4780626548413,1.1730059042002203,7010.079457442228
L,65-74,12750313.0,0.0853265327682544,0.38776538270080113,0.5269080845309445,11729.455403609632,17435.283672904017,5017.838189607054,1.1976298053510555,14047.54539189889
L,75+,31649572.0,0.0975276379724819,0.40990917665490073,0.49256318537261734,12384.447527916196,18382.627244008152,10363.631936690943,1.1730059042002203,14527.03007050352
