group,age_band,sex,n,imputed_share,months_last_interview_to_death_median,eol_mean,eol_zero_share,eol_p50,eol_p90,eol_p95,eol_p99,whole_window_mean
ltc,65-74,female,219,0.3059360730593607,13.0,10760.557907425173,0.3378995433789954,582.8000000000001,25685.04280000004,73500.31923931713,141727.76172726005,12994.44586340245
ltc,65-74,male,176,0.2897727272727273,14.0,10083.047505853601,0.36363636363636365,441.62842105263155,22600.45333333333,53238.58857142857,173599.11075000002,12986.113710842461
ltc,75+,female,1865,0.289544235924933,12.0,17751.40446549797,0.30455764075067027,1680.549,58718.88819775781,100325.63999999998,171332.9555294111,23732.81098910885
ltc,75+,male,992,0.3286290322580645,11.0,16606.703584396597,0.2772177419354839,2068.974782608696,51770.354485714284,81789.19696285707,181295.96648103063,20618.28445325773
other,65-74,female,771,0.36835278858625164,16.0,6541.073663429903,0.22697795071335927,1223.88,16400.04,31806.85,85200.90049630674,10332.680021452608
other,65-74,male,883,0.36806342015855037,15.0,6162.194597140925,0.217440543601359,1474.565,14938.56,26371.425346737993,81596.28662915475,9562.509323898263
other,75+,female,2602,0.377401998462721,17.0,8378.350213055777,0.16564181398923905,1971.3867096774193,19099.12137224246,36504.111359999995,95707.72425108106,15016.71594334045
other,75+,male,2457,0.3915343915343915,17.0,7536.396434446582,0.1746031746031746,1742.6666666666665,18670.635000000002,34524.789733333244,91985.91495131968,12819.619352126485
