sex,income_tertile,entry_share_H_pct,entry_share_C_pct,entry_share_D_pct,entry_share_L_pct,any_college_pct,life_expectancy,ever_ltc_pct,pv_medicare_mean,pv_oop_mean,pv_oop_median,var95,cvar95,cvar99,share_of_tail_ever_ltc_pct
male,low,12.009653729482354,66.2887867620307,14.941823452903884,6.759736055583063,37.17232096653719,17.41075,51.13166666666666,144094.68045029204,30387.38181077095,24261.573010350614,78097.58166026945,112297.27324337496,172784.12237078344,75.03333333333333
female,low,9.862428651209052,66.37999792285865,15.789777411449496,7.96779601448281,36.30798535553574,20.085583333333332,64.73166666666667,164935.9049474124,42713.017524843344,32503.1769157366,110615.220332617,163938.55204565608,270549.2543478147,86.23333333333333
male,middle,13.530657531569403,75.51679266898888,8.638425265032602,2.314124534409105,53.287811418211795,18.232908333333334,45.77333333333333,153486.34866137034,36835.789532843126,30849.15882849571,89281.81381943182,123237.56769618398,184222.73977295926,77.7
female,middle,13.873990372948247,76.94237943016638,6.895106331302818,2.2885238655825613,52.8093770954754,20.992225,59.131666666666675,173588.0079556514,52605.74966226834,41465.33928064899,133328.9817464243,177705.62646750576,254694.9499926861,91.13333333333333
male,high,17.45508437582151,76.96773773433374,4.797379851579589,0.7797980382651646,75.88589909630927,19.054916666666667,43.57,161087.22045475012,44277.09260587565,36357.978321049035,108871.61037288545,151791.23745357848,226115.23800367545,84.39999999999999
female,high,21.246904958944217,74.69801110513701,3.2131304238340834,0.841953512084673,72.9454377851228,21.763858333333335,57.42,179788.14486545356,59646.903365045546,46830.51827788025,147840.01279076314,214185.7090340425,352605.8579559754,90.83333333333333
