sex,age,from,to_H,to_C,to_D,to_L,to_N,to_X
male,65,H,0.8745967399302754,0.10935006417966396,0.010182538811805168,0.0006342159924390118,8.862982900250448e-05,0.005147811256813866
male,65,C,0.00019060882765748466,0.9380659372256042,0.04213086780612165,0.0028574581327323613,0.0011617449133057413,0.015593383094578582
male,65,D,0.006229277373113339,0.25364279907521947,0.5986532670269333,0.08632029134609732,0.004235100598770435,0.050919264579865973
male,65,L,0.0010799425474256154,0.04347058765094547,0.22005929776837463,0.6085018358507441,0.02648107530396204,0.10040726087854812
male,65,N,0.0002734089708920793,0.010998783335792472,0.05891899116436037,0.02631207596715107,0.7171359945266514,0.18636074603515262
male,75,H,0.8479612221342635,0.11853409489686548,0.01884197865664343,0.0013597095978401027,0.0003800922603286419,0.012922902454058754
male,75,C,0.0001691606772884342,0.904088364230844,0.05630582701571153,0.00435084603645285,0.0037195399422120306,0.03136626209749111
male,75,D,0.004006158652025056,0.2190354469643714,0.5804707778823427,0.09519276491963996,0.013352847243906413,0.08794200433771453
male,75,L,0.0005171054461789496,0.027991235362147992,0.15904204699864632,0.5857456923633984,0.05241828813961357,0.17428563169001485
male,75,N,0.00011787846965827317,0.0063784986038923856,0.03769853826021077,0.014278532915356173,0.6714598188449497,0.27006673290593275
male,85,H,0.7852856993400266,0.11406452766136718,0.0579303200108232,0.0059802209583482945,0.00308987754815091,0.03364935448128391
male,85,C,0.0002645894902863014,0.8060410753157533,0.09567342026353794,0.010318881403710692,0.017630004553637984,0.07007202897307378
male,85,D,0.0033594844104870634,0.1650852362633812,0.5315096623226687,0.12054300959531979,0.04733972769245286,0.13216287971569043
male,85,L,0.00030745508104819717,0.015074151516309246,0.10328483814100665,0.5282371301316824,0.0769626731478203,0.27613375198213325
male,85,N,7.863378237022961e-05,0.0038550673356797915,0.027243436085450802,0.009077710703179791,0.6097488959109765,0.3499962561823427
female,65,H,0.8783543584523955,0.10871264385239322,0.009944332885480939,0.0005787492446340136,9.317241225815685e-05,0.00231674315283818
female,65,C,0.0001405334099876882,0.9407792428357455,0.04600585878788306,0.0029592133761175165,0.0011734604762960177,0.008941691113970184
female,65,D,0.004272369877094023,0.2613600455670371,0.6124105278118157,0.08387444975309878,0.005721136740925273,0.03236147025002902
female,65,L,0.0006863050347353046,0.04152631358241949,0.20987574055785704,0.6532090806614055,0.027052408519344703,0.06765015164423793
female,65,N,0.00014612867209859892,0.008835106520454349,0.0480900710901205,0.03730344748885168,0.7760947501047396,0.12953049612373532
female,75,H,0.855692348285986,0.11838653903278026,0.018387708462270256,0.00124862008793476,0.00044137101617910344,0.005843413114849688
female,75,C,0.00012545956941687213,0.9113190498652487,0.061888408097115155,0.004560900975885945,0.003970299390076157,0.018135882102257164
female,75,D,0.002766150995612274,0.22724856458271978,0.5993117393321463,0.09407099513585919,0.01983981731421469,0.05676273263944773
female,75,L,0.0003324411957645941,0.027052183918658938,0.154025233426323,0.6441535517530811,0.055383987561265384,0.11905260214490705
female,75,N,6.313737872949217e-05,0.005135348331098411,0.03083856955962269,0.020156755349608556,0.7530842557308881,0.19072193365005274
female,85,H,0.8035844330352759,0.11515721674435805,0.05582554600865542,0.005514162834266419,0.004178333977704316,0.015740307399739924
female,85,C,0.00019688896609266202,0.8222614945981731,0.10496394577230211,0.010948147982282148,0.020345699904011003,0.04128382277713896
female,85,D,0.0023195122752005977,0.171045193913809,0.5404244920247847,0.12085411783561587,0.07650087743613322,0.08885580651445653
female,85,L,0.0002001027081516974,0.014736986596982766,0.10119600742736404,0.6054537437031062,0.08561196646724865,0.1928011930971467
female,85,N,4.224872961127724e-05,0.003111348123423582,0.0222519014055965,0.012300221152723676,0.7108718384136752,0.25142244217496984
