sex,college,nonwhite,entry_state,life_expectancy_65,years_in_H,years_in_C,years_in_D,years_in_L,years_in_N
male,0,0,H,18.30055653469149,6.599257059913073,8.93879068119562,1.7642705496296078,0.5717093828478789,0.42652886110529953
male,0,0,C,16.311995432589878,0.055872917548973694,13.17412090900687,2.02134753333897,0.6306464886402704,0.430007584054798
male,0,0,D,13.92312221929219,0.1387866844105909,8.702805403139878,3.6188997983525293,1.0225573709163416,0.4400729624728578
male,0,0,L,11.028887376152507,0.08368965650485087,5.41039642582342,2.3522858975886494,2.6328629566023034,0.5496524396332831
male,0,0,N,6.415181634190236,0.030868702362000615,2.002078765500865,0.9094592218522676,0.42293809801081594,3.049836846464287
male,0,1,H,17.64704610215687,6.048954166966274,7.858811066877663,2.2118902430873155,1.182969011758952,0.34442161346665606
male,0,1,C,15.960763341281156,0.07334121817277185,11.736430978562934,2.5048955234044112,1.2899928159434575,0.3561028051975827
male,0,1,D,14.242193263389819,0.16459260787624402,7.768309333079433,4.105166279157216,1.8325068548050143,0.3716181884719121
male,0,1,L,12.212913660303789,0.10779380511517946,5.269215770831672,2.9334248064120443,3.4570276172342145,0.44545166071067843
male,0,1,N,6.463286091414198,0.03162766709717865,1.5554847108539924,0.9144083848807871,0.6141421546912805,3.347623173890957
male,1,0,H,20.837143466420194,7.596049495760751,10.563789150329196,1.7133327491838906,0.5268903378975203,0.43708173324882926
male,1,0,C,18.604395243343042,0.07295987838437255,15.61587587285557,1.9131504415553886,0.5688773801880316,0.43353167035967527
male,1,0,D,16.261341649455552,0.1962566838631588,11.06296362439528,3.603018170359232,0.9680199574621646,0.43108321337571787
male,1,0,L,12.195280521818752,0.1149050779744997,6.658383051185695,2.278258308324724,2.6570161907091387,0.4867178936246884
male,1,0,N,8.77869375553911,0.06968180830501527,4.042450018707401,1.416716823537402,0.6448468779980687,2.6049982269912206
male,1,1,H,20.106340042095738,7.0336435668625805,9.55503363037625,2.1126616196199284,1.0552515386196075,0.3497496866173612
male,1,1,C,18.109518088524343,0.09436592874156455,14.220144726394532,2.3259151718399864,1.1161691524816797,0.35292310906658036
male,1,1,D,16.28821814377564,0.23157774993025954,10.000167355372323,4.011966020245437,1.6864510579004823,0.3580559603271415
male,1,1,L,13.315245010323002,0.1472369604377477,6.5639376514614165,2.7874034546914017,3.416417305492925,0.40024963823950604
male,1,1,N,8.581869151394498,0.0726671600875598,3.2487397676149183,1.4301220565559343,0.9349175287113328,2.8954226384247552
female,0,0,H,21.17432789178288,6.855169166658683,10.129425310267955,2.30319695831753,0.9027183117092193,0.9838181448294973
female,0,0,C,19.301573955043942,0.05088993656803247,14.615137059901153,2.658515151322608,0.9928929579163505,0.9841388493357853
female,0,0,D,17.12715040971311,0.11126559962745529,10.27713790611707,4.310681895549407,1.4323444740100142,0.9957205344091571
female,0,0,L,14.11697628084439,0.07039779914967996,6.665920108925542,2.966758389514105,3.2999863966898846,1.1139135865651815
female,0,0,N,8.707600850483415,0.02674759217551365,2.523870901346436,1.200770958846061,0.7528151583793106,4.20339623973609
female,0,1,H,20.765920731298692,6.325465261366616,8.731514365388993,2.9409073403958312,1.9967481491885162,0.7712856149587332
female,0,1,C,19.035503528128956,0.06721152523975447,12.664833367576923,3.3335897578404503,2.184447841440736,0.785421036031094
female,0,1,D,17.506720338325675,0.13329834474072655,8.880036734689275,4.961291423200501,2.729318966095497,0.8027748695996808
female,0,1,L,15.454238853683306,0.09053117888875263,6.216707952091374,3.708146503310041,4.5493725086051136,0.8894807107880228
female,0,1,N,8.927952787683077,0.028651078615046573,1.9682772121928986,1.2735050457348662,1.1332158418562932,4.524303609283974
female,1,0,H,23.632339173354012,7.801750933387466,11.84460010956664,2.2000457317788538,0.8509872503021284,0.9349551483189161
female,1,0,C,21.68858213681114,0.06504810237998908,17.269706118156005,2.498721419615161,0.9239093272034004,0.9311971694565794
female,1,0,D,19.57664307920203,0.15331859831295258,12.881605401161872,4.238762930170478,1.3765597986807745,0.9263963508759562
female,1,0,L,15.479776719498895,0.09516879991801808,8.174151710045978,2.8709099996768357,3.3693976954588347,0.970148514399231
female,1,0,N,11.448253694222807,0.05748933443720453,4.923892915596345,1.8036803821934015,1.1384264830550017,3.524764578940859
female,1,1,H,23.190281197676615,7.254990806583631,10.696010116518945,2.776412022161952,1.7402358114611884,0.7226324409508889
female,1,1,C,21.38636056586337,0.08466784157297112,15.62338555336206,3.0946363712072342,1.8562110407030064,0.7274597590181019
female,1,1,D,19.72970297652895,0.18262744108156279,11.534438920702359,4.809242094207605,2.4706671458424414,0.7327273746949796
female,1,1,L,16.771966665577093,0.12146902872537488,7.879670243293276,3.528910734382537,4.465901728444578,0.7760149307313307
female,1,1,N,11.497390818072637,0.062461880286430384,4.046060030297389,1.9202102695925154,1.6713650165279157,3.797293621368381
