lag_years,n,correlation,fitted,permanent_share,annual_decay
2,68498,0.494310515926846,0.5031532709359936,0.36737777918700654,0.4632745799836208
4,50712,0.4178926222569474,0.3965183682355356,0.36737777918700654,0.4632745799836208
6,36658,0.3756603465098685,0.37363202963498243,0.36737777918700654,0.4632745799836208
8,25280,0.35323416994782464,0.36872008728520134,0.36737777918700654,0.4632745799836208
